text,label,observed_months,year,month
경찰서 정모,0,12,2021,6
리얼,1,12,2020,3
마렵다,1,12,2018,5
반오십,1,12,2021,2
소식좌,0,12,2022,8
신의 한 수,1,12,2023,1
싱크로율,1,12,2020,5
쿨내,1,12,2021,8
오또케,1,12,2020,12
홈로윈,1,12,2021,10
유앤케이,0,12,2024,2
코리안 아이스드 커피,0,12,2021,9
을지로입구 99번출구,0,12,2021,10
티모시 샬라메 살라메,0,12,2024,2
BORG,0,12,2023,5
헤어지자고? 너 누군데,0,12,2024,8
경관의 피,0,12,2022,1
살구명장,0,12,2024,6
상치,0,12,2021,9
원도우 펀치맨,0,12,2023,8
김땅콩,0,12,2024,11
공범,0,12,2021,10
탕탕 후루후루,1,12,2024,5
저속노화,1,12,2025,1
PPAP,1,12,2021,10
공주의 규칙,0,12,2025,2
에그워드리,1,12,2024,12
뉴런 공유,0,12,2023,5
움파룸파 둠파티두,0,12,2024,2
자라나라 트리트리,0,12,2023,11
로버트는 얼마나 좋았을까?,0,12,2023,8
너와의 모든 지금,0,12,2024,11
안익었는데진짜,0,12,2023,3
내 트리를 꾸며줘!,0,12,2021,12
베리 드뮤어,0,12,2024,9
예민하네 화났네,1,12,2021,9
풍향고,0,12,2024,11
땡큐 카테키,0,12,2025,3
BENJAMIN'S DELI,0,12,2023,11
모스부호,0,12,2023,9
튀르키예즈 온 더 블럭,0,12,2022,6
쩝쩝박사,1,12,2021,4
굳이데이,0,12,2023,6
댄스챌린짐,1,12,2024,5
체리피스,0,12,2022,10
별꾸,0,12,2024,6
젤다 휴가,0,12,2023,5
스웨덴 게이트,0,12,2022,6
솔숲 끝으로 해맑은 햇살이 찾아오고,0,12,2025,4
쇠일러문,0,12,2024,5
머니딛,0,12,2022,11
무도일력,0,12,2024,12
춘식이,1,12,2021,8
텍스트힙,0,12,2024,10
조쉬 허쳐슨 밈,0,12,2023,11
렛미두잇뽈유,0,12,2023,2
후드에서 살아남기,1,12,2022,10
옛메,0,12,2024,1
잘파세대,0,12,2023,3
익속,0,12,2025,3
드라우닝,1,12,2024,10
쉿재용,0,12,2023,12
총켓몬,0,12,2024,1
방방컨,0,12,2022,8
조나단 밀크티,0,12,2021,12
지우학,0,12,2022,2
공주들은 원래 그래,0,12,2024,12
숲튽훈,1,12,2023,11
지글지글,0,12,2022,6
ONION 하세요,0,12,2023,12
돌탁댄스,0,12,2023,6
그대들은 어떻게 살 것인가,0,12,2023,10
시발 카드,0,12,2021,9
나 아는사람 강다니엘 닮은 이모가 다시보게되는게 다시 그때처럼 안닮게 엄마보면 느껴지는걸수도 있는거임?,0,12,2018,1
오스틴입니다,1,12,2019,9
자세히 보기를 누르지 마십시오,0,12,2019,3
세이브 조작단,0,12,2021,10
삐끼삐끼,1,12,2024,7
